16:46:54.365484 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:58.428201 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:46:58.608923 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.367769 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.928849 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:00.365669 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:47:01.342994 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:47:01.343423 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:47:01.426673 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:01.545375 IP 192.168.139.142.48732 > 192.168.139.2.domain: 52543+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:47:01.550107 IP 192.168.139.2.domain > 192.168.139.142.48732: 52543 NXDomain 0/1/0 (114)
16:47:01.552079 IP 192.168.139.142.45297 > 192.168.139.144.microsoft-ds: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.680153 IP 192.168.139.142.45297 > 192.168.139.144.18101: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.680284 IP 192.168.139.144.2004 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.680434 IP 192.168.139.142.45297 > 192.168.139.144.2170: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.680560 IP 192.168.139.144.3869 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.680663 IP 192.168.139.142.45297 > 192.168.139.144.3283: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.680756 IP 192.168.139.144.1049 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.680861 IP 192.168.139.144.1043 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.680951 IP 192.168.139.142.45297 > 192.168.139.144.1247: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.681015 IP 192.168.139.142.45297 > 192.168.139.144.2020: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.681119 IP 192.168.139.144.1594 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.681220 IP 192.168.139.142.45297 > 192.168.139.144.1044: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.681285 IP 192.168.139.142.45297 > 192.168.139.144.787: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.681371 IP 192.168.139.144.tacacs > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.681465 IP 192.168.139.142.45297 > 192.168.139.144.6: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.681718 IP 192.168.139.142.45297 > 192.168.139.144.524: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.681805 IP 192.168.139.144.1165 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.681887 IP 192.168.139.144.3580 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.681983 IP 192.168.139.142.45297 > 192.168.139.144.3827: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.682047 IP 192.168.139.142.45297 > 192.168.139.144.35500: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.682138 IP 192.168.139.144.18101 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.682200 IP 192.168.139.144.2170 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.682288 IP 192.168.139.142.45297 > 192.168.139.144.1056: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.682381 IP 192.168.139.144.3283 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.682477 IP 192.168.139.142.45297 > 192.168.139.144.16000: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.682570 IP 192.168.139.144.1247 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.682794 IP 192.168.139.144.2020 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.682999 IP 192.168.139.144.1044 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.683200 IP 192.168.139.144.787 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.683402 IP 192.168.139.144.6 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.683489 IP 192.168.139.144.524 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.683682 IP 192.168.139.144.3827 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.683888 IP 192.168.139.144.35500 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.683974 IP 192.168.139.144.1056 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.684274 IP 192.168.139.144.16000 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.684770 IP 192.168.139.142.45297 > 192.168.139.144.49156: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.685091 IP 192.168.139.142.45297 > 192.168.139.144.264: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.685244 IP 192.168.139.142.45297 > 192.168.139.144.898: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.685362 IP 192.168.139.144.49156 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.685629 IP 192.168.139.142.45297 > 192.168.139.144.5631: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.685757 IP 192.168.139.142.45297 > 192.168.139.144.2035: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.685871 IP 192.168.139.144.264 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.686066 IP 192.168.139.144.898 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.686170 IP 192.168.139.144.5631 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.686318 IP 192.168.139.142.45297 > 192.168.139.144.416: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.686430 IP 192.168.139.142.45297 > 192.168.139.144.1148: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.686518 IP 192.168.139.142.45297 > 192.168.139.144.tcpmux: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.686675 IP 192.168.139.142.45297 > 192.168.139.144.25735: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.686763 IP 192.168.139.142.45297 > 192.168.139.144.rmiregistry: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.686850 IP 192.168.139.142.45297 > 192.168.139.144.3128: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.687006 IP 192.168.139.142.45297 > 192.168.139.144.1149: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.687098 IP 192.168.139.142.45297 > 192.168.139.144.6129: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.687314 IP 192.168.139.144.2035 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.687470 IP 192.168.139.144.416 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.687562 IP 192.168.139.144.1148 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.687647 IP 192.168.139.144.tcpmux > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.687796 IP 192.168.139.144.25735 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.687885 IP 192.168.139.144.rmiregistry > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.687988 IP 192.168.139.144.3128 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.688174 IP 192.168.139.144.1149 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.688255 IP 192.168.139.142.45297 > 192.168.139.144.45100: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688309 IP 192.168.139.142.45297 > 192.168.139.144.8099: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688384 IP 192.168.139.142.45297 > 192.168.139.144.1092: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688429 IP 192.168.139.142.45297 > 192.168.139.144.62078: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688479 IP 192.168.139.142.45297 > 192.168.139.144.cfinger: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688552 IP 192.168.139.142.45297 > 192.168.139.144.1213: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688593 IP 192.168.139.142.45297 > 192.168.139.144.3261: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688642 IP 192.168.139.142.45297 > 192.168.139.144.7496: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688716 IP 192.168.139.142.45297 > 192.168.139.144.2393: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688759 IP 192.168.139.142.45297 > 192.168.139.144.65389: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688838 IP 192.168.139.142.45297 > 192.168.139.144.8083: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688890 IP 192.168.139.142.45297 > 192.168.139.144.720: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.688935 IP 192.168.139.142.45297 > 192.168.139.144.10009: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.689014 IP 192.168.139.142.45297 > 192.168.139.144.1084: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.689057 IP 192.168.139.142.45297 > 192.168.139.144.60443: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.689101 IP 192.168.139.142.45297 > 192.168.139.144.1060: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.689183 IP 192.168.139.142.45297 > 192.168.139.144.593: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.689226 IP 192.168.139.142.45297 > 192.168.139.144.2048: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.689304 IP 192.168.139.142.45297 > 192.168.139.144.84: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.689353 IP 192.168.139.142.45297 > 192.168.139.144.32775: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.689426 IP 192.168.139.144.6129 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.689506 IP 192.168.139.144.45100 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.689555 IP 192.168.139.144.8099 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.689599 IP 192.168.139.144.1092 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.689676 IP 192.168.139.144.62078 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.689723 IP 192.168.139.144.cfinger > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.689799 IP 192.168.139.144.1213 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.689848 IP 192.168.139.144.3261 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.689893 IP 192.168.139.144.7496 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.689968 IP 192.168.139.144.2393 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690017 IP 192.168.139.144.65389 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690061 IP 192.168.139.144.8083 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690139 IP 192.168.139.144.720 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690186 IP 192.168.139.144.10009 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690262 IP 192.168.139.144.1084 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690312 IP 192.168.139.144.60443 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690362 IP 192.168.139.144.1060 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690410 IP 192.168.139.144.593 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690454 IP 192.168.139.144.2048 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690499 IP 192.168.139.144.84 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.690577 IP 192.168.139.142.45297 > 192.168.139.144.nameserver: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.690629 IP 192.168.139.142.45297 > 192.168.139.144.1110: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.690674 IP 192.168.139.142.45297 > 192.168.139.144.afs3-fileserver: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.690753 IP 192.168.139.142.45297 > 192.168.139.144.32: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.690794 IP 192.168.139.142.45297 > 192.168.139.144.4446: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.690837 IP 192.168.139.142.45297 > 192.168.139.144.18040: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.690909 IP 192.168.139.142.45297 > 192.168.139.144.6580: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.690950 IP 192.168.139.142.45297 > 192.168.139.144.1113: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.690996 IP 192.168.139.142.45297 > 192.168.139.144.32768: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.691038 IP 192.168.139.142.45297 > 192.168.139.144.5901: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.691079 IP 192.168.139.142.45297 > 192.168.139.144.1141: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.691128 IP 192.168.139.142.45297 > 192.168.139.144.2043: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.691174 IP 192.168.139.142.45297 > 192.168.139.144.5544: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.691219 IP 192.168.139.142.45297 > 192.168.139.144.8651: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.691270 IP 192.168.139.142.45297 > 192.168.139.144.5911: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.691313 IP 192.168.139.142.45297 > 192.168.139.144.telnets: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.691365 IP 192.168.139.144.32775 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691405 IP 192.168.139.144.nameserver > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691448 IP 192.168.139.144.1110 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691522 IP 192.168.139.144.afs3-fileserver > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691567 IP 192.168.139.144.32 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691640 IP 192.168.139.144.4446 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691685 IP 192.168.139.144.18040 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691727 IP 192.168.139.144.6580 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691802 IP 192.168.139.144.1113 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691847 IP 192.168.139.144.32768 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691889 IP 192.168.139.144.5901 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.691985 IP 192.168.139.144.1141 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.692031 IP 192.168.139.144.2043 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.692070 IP 192.168.139.144.5544 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.692114 IP 192.168.139.144.8651 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.692159 IP 192.168.139.144.5911 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.692237 IP 192.168.139.142.45297 > 192.168.139.144.1062: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.692312 IP 192.168.139.144.telnets > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.694218 IP 192.168.139.144.1062 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.694538 IP 192.168.139.142.45297 > 192.168.139.144.x11-6: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.694645 IP 192.168.139.142.45297 > 192.168.139.144.1169: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.694720 IP 192.168.139.142.45297 > 192.168.139.144.9943: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.694762 IP 192.168.139.142.45297 > 192.168.139.144.kshell: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.694828 IP 192.168.139.142.45297 > 192.168.139.144.1130: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.694898 IP 192.168.139.142.45297 > 192.168.139.144.5080: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.694940 IP 192.168.139.142.45297 > 192.168.139.144.omniorb: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695011 IP 192.168.139.142.45297 > 192.168.139.144.9081: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695051 IP 192.168.139.142.45297 > 192.168.139.144.1107: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695118 IP 192.168.139.142.45297 > 192.168.139.144.2909: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695276 IP 192.168.139.142.45297 > 192.168.139.144.12345: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695353 IP 192.168.139.142.45297 > 192.168.139.144.sip-tls: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695393 IP 192.168.139.142.45297 > 192.168.139.144.svrloc: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695462 IP 192.168.139.142.45297 > 192.168.139.144.sip: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695502 IP 192.168.139.142.45297 > 192.168.139.144.6510: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695569 IP 192.168.139.142.45297 > 192.168.139.144.31038: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695649 IP 192.168.139.142.45297 > 192.168.139.144.3052: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695693 IP 192.168.139.142.45297 > 192.168.139.144.5730: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695760 IP 192.168.139.142.45297 > 192.168.139.144.isakmp: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.695805 IP 192.168.139.142.45297 > 192.168.139.144.1666: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696063 IP 192.168.139.142.45297 > 192.168.139.144.1105: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696121 IP 192.168.139.142.45297 > 192.168.139.144.5405: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696201 IP 192.168.139.142.45297 > 192.168.139.144.1124: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696248 IP 192.168.139.142.45297 > 192.168.139.144.1011: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696328 IP 192.168.139.142.45297 > 192.168.139.144.1032: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696378 IP 192.168.139.142.45297 > 192.168.139.144.56738: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696538 IP 192.168.139.142.45297 > 192.168.139.144.50389: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696593 IP 192.168.139.142.45297 > 192.168.139.144.4045: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696640 IP 192.168.139.142.45297 > 192.168.139.144.1914: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696718 IP 192.168.139.142.45297 > 192.168.139.144.bpjava-msvc: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696760 IP 192.168.139.142.45297 > 192.168.139.144.1066: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696810 IP 192.168.139.142.45297 > 192.168.139.144.5679: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696891 IP 192.168.139.142.45297 > 192.168.139.144.3268: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.696942 IP 192.168.139.142.45297 > 192.168.139.144.902: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.697015 IP 192.168.139.142.45297 > 192.168.139.144.1719: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
